ordem,id,materia,titulo,artefato_ativo,status,proxima_acao
1,summary-fisica-equacao-fundamental-da-ondulatoria,Física,Equação Fundamental da Ondulatória,board:ondulatoria,em-validacao,revisao editorial e QA pendente
2,summary-fisica-ondulatoria-ondas-eletromagneticas,Física,Ondulatória: Ondas Eletromagnéticas,board:ondulatoria,em-validacao,revisao editorial e QA pendente
3,summary-fisica-ondulatoria-som-e-suas-propriedades,Física,Ondulatória: Som e suas Propriedades,board:ondulatoria,em-validacao,revisao editorial e QA pendente
4,summary-quimica-evolucao-dos-modelos-atomicos,Química,Evolução dos Modelos Atômicos,board:modelos-atomicos,em-validacao,revisao editorial e QA pendente
5,summary-quimica-termoquimica-i,Química,Termoquímica I,board:termoquimica,em-validacao,revisao editorial e QA pendente
6,summary-quimica-termoquimica-ii,Química,Termoquímica II,board:termoquimica,em-validacao,revisao editorial e QA pendente
7,summary-biologia-bioenergetica-fotossintese-e-quimiossintese,Biologia,Bioenergética: Fotossíntese e Quimiossíntese,board:bioenergetica,em-validacao,revisao editorial e QA pendente
8,bio-ecologia-ciclo-nitrogenio,Biologia,Ciclo do nitrogênio,scene:nitrogenio-solo-atmosfera,em-validacao,revisao editorial e QA pendente
9,bio-ecologia-ciclo-hidrologico-poluicao-agua,Biologia,Ciclo hidrológico e poluição da água,scene:poluicao-agua-agentes,em-validacao,revisao editorial e QA pendente
10,summary-biologia-coracao-e-vasos-sanguineos,Biologia,Coração e Vasos Sanguíneos,board:coracao-circulacao,em-validacao,revisao editorial e QA pendente
11,bio-ecologia-dinamica-populacoes,Biologia,Dinâmica de populações,scene:estrategias-reprodutivas,em-validacao,revisao editorial e QA pendente
12,bio-ecologia-invasoras-controle-biologico,Biologia,Espécies invasoras e controle biológico,scene:invasao-impactos,em-validacao,revisao editorial e QA pendente
13,bio-ecologia-eutrofizacao,Biologia,Eutrofização e fluxo de energia,scene:eutrofizacao-lago,em-validacao,revisao editorial e QA pendente
14,bio-ecologia-sucessao,Biologia,Sucessão ecológica,scene:sucessao-comunidades,em-validacao,revisao editorial e QA pendente
15,summary-geografia-combustiveis-fosseis-e-biocombustiveis-no-brasil,Geografia,Combustíveis Fósseis e Biocombustíveis no Brasil,instrument:combustiveis-biocombustiveis-brasil,em-validacao,revisao editorial e QA pendente
16,summary-geografia-dinamica-climatica,Geografia,Dinâmica Climática,scene:tipologia,em-validacao,revisao editorial e QA pendente
17,summary-geografia-energia-eletrica-no-brasil,Geografia,Energia Elétrica no Brasil,instrument:energia-eletrica-brasil,em-validacao,revisao editorial e QA pendente
18,summary-geografia-estrutura-etnica-e-fluxos-migratorios,Geografia,Estrutura Étnica e Fluxos Migratórios,instrument:fluxos-populacionais,em-validacao,revisao editorial e QA pendente
19,summary-geografia-os-fluxos-do-comercio-externo,Geografia,Os Fluxos do Comércio Externo,instrument:rede-comercio-externo,em-validacao,revisao editorial e QA pendente
20,summary-geografia-projecoes-cartograficas,Geografia,Projeções Cartográficas,scene:tipologia,em-validacao,revisao editorial e QA pendente
21,summary-historia-revolucao-francesa,História,Revolução Francesa,scene:cadeia-de-derivacao,em-validacao,revisao editorial e QA pendente
22,summary-historia-revolucao-industrial,História,Revolução Industrial,scene:cadeia-de-derivacao,em-validacao,revisao editorial e QA pendente
23,summary-fisica-a-forca-de-contato,Física,A Força de Contato,instrument:forca-contato,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
24,summary-fisica-a-fisica-por-tras-da-obtencao-de-energia-eletrica-das-quedas-d-agua-aos-reatores-nucleares,Física,"A Física por trás da Obtenção de Energia Elétrica, das Quedas-d'Água aos Reatores Nucleares",scene:geracao-eletrica,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
25,summary-fisica-aceleracao-vetorial,Física,Aceleração Vetorial,scene:grade-de-eixos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
26,summary-fisica-analisando-movimentos-contidos-em-um-plano-vertical,Física,Analisando Movimentos Contidos em um Plano Vertical,instrument:plano-vertical,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
27,summary-fisica-analise-de-forca-magnetica-em-fios-percorridos-por-correntes-continuas,Física,Análise de Força Magnética em Fios Percorridos por Correntes Contínuas,instrument:fios-paralelos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
28,summary-fisica-as-leis-de-newton,Física,As Leis de Newton,board:leis-newton,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
29,summary-fisica-balistica,Física,Balística,instrument:balistica,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
30,summary-fisica-calor-sensivel-e-calor-latente,Física,Calor Sensível e Calor Latente,board:calorimetria,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
31,fis-termologia-calor,Física,"Calor, temperatura e mudanças de estado",board:calorimetria,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
32,summary-fisica-campo-eletrico,Física,Campo Elétrico,instrument:campo-eletrico,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
33,summary-fisica-campo-eletrico-uniforme-abordagem-escalar-e-abordagem-vetorial,Física,Campo Elétrico Uniforme: Abordagem Escalar e Abordagem Vetorial,instrument:campo-uniforme,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
34,summary-fisica-campo-magnetico-devido-a-corrente-em-fio-reto-e-espira-descricao-vetorial-e-aplicacoes,Física,Campo Magnético devido à Corrente em Fio Reto e Espira: Descrição Vetorial e Aplicações,instrument:fio-espira,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
35,summary-fisica-capacitores,Física,Capacitores,instrument:capacitores,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
36,summary-fisica-cinematica-escalar-conceitos-fundamentais,Física,Cinemática Escalar. Conceitos Fundamentais,board:cinematica,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
37,summary-fisica-circuitos-de-malha-unica,Física,Circuitos de Malha Única,board:circuitos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
38,summary-fisica-colisoes,Física,Colisões,scene:colisoes-momento-energia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
39,summary-fisica-composicao-de-movimentos,Física,Composição de Movimentos,instrument:composicao-movimentos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
40,summary-fisica-conceitos-basicos,Física,Conceitos Básicos,instrument:conceitos-ondas,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
41,summary-fisica-corrente-eletrica,Física,Corrente Elétrica,instrument:corrente-eletrica,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
42,summary-fisica-dilatacao-ou-contracao-termica-dos-solidos-e-liquidos,Física,Dilatação ou Contração Térmica dos Sólidos e Líquidos,scene:cadeia-de-derivacao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
43,summary-fisica-dinamica-das-cargas-eletricas,Física,Dinâmica das Cargas Elétricas,instrument:dinamica-cargas,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
44,summary-fisica-dinamica-do-movimento-circular,Física,Dinâmica do Movimento Circular,instrument:dinamica-circular,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
45,summary-fisica-efeito-doppler-descricao-e-estudo-quantitativo,Física,Efeito Doppler: Descrição e Estudo Quantitativo,instrument:efeito-doppler,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
46,summary-fisica-eletrodinamica-as-leis-de-kirchhoff,Física,Eletrodinâmica: as Leis de Kirchhoff,instrument:leis-kirchhoff,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
47,summary-fisica-eletrostatica-processos-de-eletrizacao-e-aplicacoes,Física,Eletrostática: Processos de Eletrização e Aplicações,scene:eletrizacao-cargas,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
48,summary-fisica-energia-potencial-e-potencial-eletrico,Física,Energia Potencial e Potencial Elétrico,instrument:potencial-eletrico,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
49,summary-fisica-equacao-do-fabricante-de-lentes-e-associacao-de-lentes,Física,Equação do Fabricante de Lentes e Associação de Lentes,board:lentes,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
50,summary-fisica-equivalencia-massa-energia,Física,Equivalência Massa-Energia,instrument:massa-energia,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
51,summary-fisica-estudo-analitico-das-lentes-esfericas,Física,Estudo Analítico das Lentes Esféricas,board:lentes,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
52,summary-fisica-estatica,Física,Estática,scene:criterios-conjuntivos,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
53,summary-fisica-fenomenos-ondulatorios-analise-de-refracao-e-reflexao-em-cordas,Física,Fenômenos Ondulatórios: Análise de Refração e Reflexão em Cordas,instrument:reflexao-cordas,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
54,summary-fisica-fenomenos-ondulatorios-difracao-polarizacao-e-ressonancia,Física,"Fenômenos Ondulatórios: Difração, Polarização e Ressonância",instrument:difracao-polarizacao,nao-revisado,inspecionar mecanismo e fontes; redesenhar quando necessario
