fonte: https://www.comvest.unicamp.br/wp-content/uploads/2025/10/Q_X-gabarito.pdf
paginas: 1

===== pagina 1 =====
01 C 19 A 37 C 55 A
02 B 20 A 38 C 56 C
03 C 21 B 39 B 57 A
04 B 22 D 40 D 58 D
05 D 23 D 41 C 59 C
06 C 24 C 42 C 60 B
07 D 25 C 43 A 61 D
08 D 26 D 44 D 62 A
09 C 27 B 45 B 63 B
10 B 28 C 46 C 64 C
11 C 29 B 47 D 65 C
12 A 30 B 48 C 66 D
13 A 31 C 49 B 67 B
14 B 32 A 50 A 68 C
15 A 33 B 51 C 69 B
16 C 34 B 52 B 70 A
17 D 35 A 53 A 71 A
18 D 36 D 54 B 72 D
GABARITO DA PROVA DE CONHECIMENTOS GERAIS − 1ª FASE
PROVAS Q e X
