fonte: https://www.comvest.unicamp.br/wp-content/uploads/2025/10/R_Y-gabarito.pdf
paginas: 1

===== pagina 1 =====
01 D 19 C 37 B 55 B
02 D 20 B 38 D 56 D
03 C 21 D 39 C 57 C
04 C 22 A 40 C 58 D
05 D 23 B 41 A 59 D
06 B 24 C 42 D 60 C
07 C 25 C 43 B 61 B
08 B 26 D 44 C 62 C
09 B 27 B 45 D 63 A
10 C 28 C 46 C 64 A
11 A 29 B 47 B 65 B
12 B 30 A 48 A 66 A
13 B 31 A 49 C 67 C
14 B 32 D 50 B 68 D
15 A 33 A 51 A 69 D
16 C 34 D 52 C 70 A
17 A 35 C 53 B 71 A
18 D 36 C 54 C 72 B
GABARITO DA PROVA DE CONHECIMENTOS GERAIS − 1ª FASE
PROVAS R e Y
