fonte: https://www.comvest.unicamp.br/wp-content/uploads/2025/10/S_Z-gabarito.pdf
paginas: 1

===== pagina 1 =====
01 B 19 D 37 B 55 D
02 A 20 A 38 A 56 D
03 C 21 D 39 C 57 A
04 A 22 C 40 B 58 A
05 D 23 C 41 C 59 B
06 C 24 B 42 B 60 D
07 B 25 D 43 D 61 D
08 D 26 C 44 C 62 C
09 A 27 C 45 D 63 C
10 B 28 A 46 D 64 D
11 C 29 D 47 C 65 B
12 C 30 B 48 B 66 C
13 D 31 C 49 C 67 B
14 B 32 D 50 A 68 B
15 C 33 C 51 A 69 C
16 B 34 B 52 B 70 A
17 A 35 A 53 A 71 B
18 A 36 C 54 C 72 B
GABARITO DA PROVA DE CONHECIMENTOS GERAIS − 1ª FASE
PROVAS S e Z
