fonte: https://www.comvest.unicamp.br/wp-content/uploads/2025/10/T_W-gabarito.pdf
paginas: 1

===== pagina 1 =====
01 A 19 A 37 A 55 B
02 D 20 B 38 D 56 D
03 C 21 A 39 D 57 C
04 C 22 C 40 D 58 D
05 B 23 A 41 C 59 D
06 D 24 D 42 C 60 C
07 C 25 C 43 D 61 B
08 C 26 B 44 B 62 C
09 A 27 D 45 C 63 A
10 D 28 A 46 B 64 A
11 B 29 B 47 B 65 B
12 C 30 C 48 C 66 A
13 D 31 C 49 A 67 C
14 C 32 D 50 B 68 D
15 B 33 B 51 B 69 D
16 A 34 C 52 C 70 A
17 C 35 B 53 B 71 A
18 B 36 A 54 C 72 B
GABARITO DA PROVA DE CONHECIMENTOS GERAIS − 1ª FASE
PROVAS T e W
